particion,n_test,precision,recall,f1,mcc,roc_auc
aleatoria (bloque 8),17440,0.9615,0.9618,0.9616,0.941,0.9956
por antigüedad del dominio,61035,0.9716,0.6764,0.7976,0.6989,0.9606
