esquema,f1_mean,recall_mean,precision_mean,average_precision_mean,mcc_mean
sin_balanceo,0.9608,0.9616,0.9601,0.9927,0.9398
scale_pos_weight,0.9602,0.9667,0.9537,0.9927,0.9386
is_unbalance,0.9606,0.967,0.9542,0.9927,0.9392
